council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Burwood Council,BC-2026-101,8 Elsie Street Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/2,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-102,116 Burwood Road Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/3,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-103,Boundary Street Croydon NSW 2132,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/4,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-104,85 Park Road Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/5,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-105,50 The Strand Croydon NSW 2132,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/6,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-106,173 Burwood Road Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/7,determined,,Partial,no,1,0,1,2,
Burwood Council,BC-2026-107,26 Fountain Avenue Croydon Park NSW 2133,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/8,determined,,Partial,no,1,0,1,2,
Burwood Council,BC-2026-108,74 Coronation Parade Enfield NSW 2136,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/9,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-109,7 Badminton Road Croydon NSW 2132,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/1,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-110,2 Jersey Road Strathfield NSW 2135,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/2,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-111,19 Belgrave Street Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/3,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-112,21 Belgrave Street Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/4,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-113,16 Railway Parade Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/5,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-114,46 Shaftesbury Road Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/6,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-115,87 Croydon Avenue Croydon Park NSW 2133,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/7,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-116,120 Coronation Parade Croydon Park NSW 2133,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/8,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-117,36 Claremont Road Burwood Heights NSW 2136,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/9,determined,,yes,yes,1,1,1,2,
Burwood Council,BC-2026-118,60 Burwood Road Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/1,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-119,901/2A Elsie Street Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/2,determined,,yes,yes,1,2,1,2,
Burwood Council,BC-2026-120,12 Church Street Burwood NSW 2134,Development Application,Development application listed on Burwood Council / Planning Alerts public tracker.,2026/5/3,determined,,yes,yes,1,2,1,2,
