council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Campbelltown City Council,CDC-101241,33 MOUNT PLEASANT DRIVE MENANGLE PARK 2563,Dwelling house,Complying Development Certificate Application,2022-07-18,Approved,2022-08-15,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101259,88 BRASSIL AVENUE CLAYMORE 2559,Dwelling house,Complying Development Certificate Application,2022-07-15,Approved,2022-07-15,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101278,"19 BLAXLAND STREET, BRADBURY NSW 2560","Garages, carports and car parking spaces,Dwelling house",Complying Development Certificate Application,,Withdrawn,,Yes,No,2,0,1,2,Data extracted via API
Campbelltown City Council,CDC-101328,36 HALWES AVENUE MENANGLE PARK 2563,"Garages, carports and car parking spaces,Dwelling house",Complying Development Certificate Application,2022-07-18,Approved,2022-07-22,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101367,15 COMMELINA AVENUE DENHAM COURT 2565,Dwelling house,Complying Development Certificate Application,2022-07-15,Approved,2022-08-05,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101422,28 SOLOMON STREET CAMPBELLTOWN 2560,Dwelling house,Complying Development Certificate Application,2022-07-22,Approved,2022-07-22,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101461,18 COMMELINA AVENUE DENHAM COURT 2565,"Garages, carports and car parking spaces,Dwelling house",Complying Development Certificate Application,2022-07-15,Approved,2022-09-27,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101484,38 EURYTHMIC STREET MENANGLE PARK 2563,Dwelling house,Complying Development Certificate Application,2022-07-18,Approved,2022-09-10,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101535,90 BRASSIL AVENUE CLAYMORE 2559,Dwelling house,Complying Development Certificate Application,2022-07-16,Approved,2022-07-16,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101552,17 CABBAGE GUM AVENUE DENHAM COURT 2565,Dwelling house,Complying Development Certificate Application,2022-09-09,Approved,2022-09-09,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100646,5 HERITAGE HEIGHTS CIRCUIT ST HELENS PARK 2560,Swimming pools,Complying Development Certificate Application,2022-07-12,Approved,2022-07-28,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100671,7 CALADENIA STREET DENHAM COURT 2565,Dwelling house,Complying Development Certificate Application,2022-10-04,Approved,2022-10-04,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100770,16 MAHONEY DRIVE CAMPBELLTOWN 2560,Dwelling house,Modification to Complying Development Certificate,2022-11-26,Approved,2022-11-23,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100804,10 BIMBERI AVENUE MINTO 2566,Alterations and additions to residential development,Modification to Complying Development Certificate,2022-07-14,Approved,2022-07-14,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100876,16 MOFFAT PLACE MINTO 2566,"Secondary dwelling,Garages, carports and car parking spaces",Complying Development Certificate Application,2022-07-12,Approved,2022-08-01,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100904,19 WAKEFUL AVENUE MENANGLE PARK 2563,Dwelling house,Complying Development Certificate Application,2022-07-13,Approved,2022-09-05,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100907,34 CABBAGE GUM AVENUE DENHAM COURT 2565,Dwelling house,Complying Development Certificate Application,2022-09-07,Approved,2022-09-07,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-100908,14 SOLOMON STREET CAMPBELLTOWN 2560,Dwelling house,Complying Development Certificate Application,,Declined,,Yes,No,2,0,1,2,Data extracted via API
Campbelltown City Council,CDC-100967,12 HALWES AVENUE MENANGLE PARK 2563,Swimming pools,Complying Development Certificate Application,2022-07-13,Approved,2023-05-02,Yes,No,2,0,2,2,Data extracted via API
Campbelltown City Council,CDC-101034,49 MINCHINBURY TERRACE ESCHOL PARK 2558,Swimming pools,Complying Development Certificate Application,2022-07-13,Approved,2022-10-28,Yes,No,2,0,2,2,Data extracted via API
