council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
City of Parramatta Council,CDC-101324,20 WATSON STREET ERMINGTON 2115,Detached development,Complying Development Certificate Application,2022-07-25,Approved,2022-07-25,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101342,5 ROMFORD ROAD EPPING 2121,Dwelling house,Modification to Complying Development Certificate,2022-07-14,Approved,2022-07-18,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101361,10 BROULEE PLACE CARLINGFORD 2118,Subdivision of land,Complying Development Certificate Application,2022-07-15,Approved,2022-07-15,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-10138,18 ROSS STREET EPPING 2121,Secondary dwelling,Complying Development Certificate Application,2021-01-21,Approved,2021-02-05,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101407,13 SUTHERLAND ROAD NORTH PARRAMATTA 2151,Secondary dwelling,Complying Development Certificate Application,2022-07-15,Approved,2022-07-18,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-10149,20 NEIL STREET EPPING 2121,"Balconies, decks, patios Terraces of verandahs",Complying Development Certificate Application,2021-01-21,Approved,2021-02-24,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101500,SHOP 6 1 AVENUE OF EUROPE NEWINGTON 2127,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-21,Approved,2022-08-08,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101510,"Level 9, 80 George Street, Parramatta, NSW, 2150",Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-15,Approved,2022-07-15,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101532,92 BALLANDELLA ROAD TOONGABBIE 2146,Secondary dwelling,Complying Development Certificate Application,2022-07-22,Under Assessment,,Yes,No,2,0,1,2,Data extracted via API
City of Parramatta Council,CDC-100637,45 DUNLOP STREET EPPING 2121,"Demolition,Garages, carports and car parking spaces,Dwelling house,Attached development,Balconies, decks, patios Terraces of verandahs,Earthworks, retaining walls, protection of trees",Complying Development Certificate Application,2022-07-14,Approved,2022-08-26,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100705,601 VICTORIA ROAD ERMINGTON 2115,"Demolition,Attached development",Complying Development Certificate Application,2022-12-09,Approved,2022-09-23,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100767,37 KARRIL AVENUE BEECROFT 2119,Demolition,Complying Development Certificate Application,2022-07-12,Approved,2022-07-28,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100771,4 BOND AVENUE TOONGABBIE 2146,Swimming pools,Complying Development Certificate Application,2022-07-14,Approved,2022-07-13,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100800,10 DARCY STREET PARRAMATTA 2150,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-12,Approved,2022-07-14,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100903,SHOP 11 160 HAWKESBURY ROAD WESTMEAD 2145,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-27,Approved,2022-08-19,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100916,"22 York Street, Epping NSW 2121",Dwelling house,Complying Development Certificate Application,2022-07-13,Approved,2022-11-22,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100953,28 BARDIA ROAD CARLINGFORD 2118,Demolition,Complying Development Certificate Application,2022-07-13,Approved,2022-07-29,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100961,13 NAOMI STREET NORTH BAULKHAM HILLS 2153,Secondary dwelling,Complying Development Certificate Application,2022-07-22,Approved,2022-09-07,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-100998,36 RIVER ROAD ERMINGTON 2115,Dwelling house,Complying Development Certificate Application,2022-07-13,Approved,2022-10-10,Yes,No,2,0,2,2,Data extracted via API
City of Parramatta Council,CDC-101061,32 SPURWAY STREET ERMINGTON 2115,Demolition,Complying Development Certificate Application,2022-07-13,Approved,2022-07-27,Yes,No,2,0,2,2,Data extracted via API
