council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Council of the City of Sydney,CDC-101239,"333 George street, Sydney NSW 2000",Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-22,Approved,2022-08-12,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101301,50 BRIDGE STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,,Withdrawn,,Yes,No,2,0,1,2,Data extracted via API
Council of the City of Sydney,CDC-101333,"GF.29, 2A South dowling Street Moore Park 2021",Other,Complying Development Certificate Application,2022-07-21,Approved,2022-07-15,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101401,18-32 JAMISON STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-26,Approved,2022-07-29,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101489,10-20 BOND STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-28,Approved,2022-07-29,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101517,323-339 CASTLEREAGH STREET HAYMARKET 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-19,Approved,2022-09-06,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101529,55-67 CLARENCE STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-08-04,Approved,2022-08-03,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101530,10-20 BOND STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-28,Approved,2022-07-29,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-101545,10-20 BOND STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-28,Approved,2022-07-29,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-100639,31 MARKET STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-13,Approved,2022-07-25,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-100658,5 Arcadia Road Glebe NSW 2037,Alterations and additions to residential development,Complying Development Certificate Application,,Declined,,Yes,No,2,0,1,2,Data extracted via API
Council of the City of Sydney,CDC-10066,20 BRIDGE STREET SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,,Declined,,Yes,No,2,0,1,2,Data extracted via API
Council of the City of Sydney,CDC-100670,"201 Elizabeth Street, Sydney NSW",Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-13,Approved,2022-07-12,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-100716,477 PITT STREET HAYMARKET 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-12,Approved,2022-07-12,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-100764,323-339 CASTLEREAGH STREET HAYMARKET 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2022-07-13,Approved,2022-08-10,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-100793,406-410 CROWN STREET SURRY HILLS 2010,Other,Complying Development Certificate Application,2022-07-14,Approved,2022-07-13,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-10086,903 362-370 PITT STREET SYDNEY 2000,"Demolition,Alterations and additions to commercial development,Change of use",Complying Development Certificate Application,2021-01-20,Under Assessment,,Yes,No,2,0,1,2,Data extracted via API
Council of the City of Sydney,CDC-10097,1 FARRER PLACE SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,2021-01-25,Approved,2021-01-22,Yes,No,2,0,2,2,Data extracted via API
Council of the City of Sydney,CDC-10099,1 MACQUARIE PLACE SYDNEY 2000,Alterations and additions to commercial development,Complying Development Certificate Application,,Declined,,Yes,No,2,0,1,2,Data extracted via API
Council of the City of Sydney,CDC-101023,96 PITT STREET REDFERN 2016,Alterations and additions to commercial development,Complying Development Certificate Application,2022-08-01,Approved,2022-07-26,Yes,No,2,0,2,2,Data extracted via API
