council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Georges River,CDC2025/0300,48 Payten Street Kogarah Bay NSW 2217,Private Issued Complying Development Certificate,Dual Occupancy with Basement including Demolition of an Existing Dwelling and Swimming Pool,14/07/2025,Approved,06/06/2025,No,No,2,0,0,2,No events shown in progress section; no documents currently available; decision date appears earlier than lodged date
Georges River,CDC2025/0099,9 Nellella Street Blakehurst NSW 2221,Private Issued Complying Development Certificate,Demolition of existing structures and construction of a dual occupancy,27/02/2025,Approved,27/02/2025,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,DA2025/0283,57 Llewellyn Street Oatley NSW 2223,Residential Alterations and Additions,Additions and alterations to dwelling house,10/06/2025,Approved,30/03/2026,Yes,Yes,2,2,2,2,"Detailed progress stages shown; multiple documents available including plans, notification letter, and assessment/consent files"
Georges River,CC2026/0045,6 Vaughan Street Blakehurst NSW 2221; 8 Vaughan Street Blakehurst NSW 2221,Construction Certificate Private Certifier Issue - Stage 4 CC,Demolition works and construction of a 4-5 storey residential flat building with basement parking,01/04/2026,,30/03/2026,No,No,1,0,0,2,No events shown; no documents currently available; related application DA2018/0237
Georges River,CDC2026/0155,45 Walter Street Mortdale NSW 2223,Private Issued Complying Development Certificate,"Demolition of a house, garage, deck, carport & awning - only",01/04/2026,Approved,26/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,MOD2026/0001,86 Roberts Avenue Mortdale NSW 2223,S4.55(1A) Modification,Modification of DA2024/0533 for alterations and additions to existing registered club; modifications include changes to Condition 1,05/01/2026,Approved,02/04/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; multiple documents available; related application DA2024/0533
Georges River,DA2025/0369,38 Colwell Street Kingsgrove NSW 2208,Residential Alterations and Additions,Alterations and additions to dwelling house and pool,30/07/2025,Refused,31/03/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; multiple documents available; refusal outcome clearly displayed
Georges River,MOD2025/0108,45A Belmore Road Peakhurst NSW 2210,S4.55(1A) Modification,Modification of DA2020/0553 for demolition works and construction of a dwelling house; modifications include internal and external changes including new pool,10/08/2025,Approved,30/03/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; documents available; related application DA2020/0553
Georges River,DA2025/0576,114 Woids Avenue Allawah NSW 2218,Residential - New Second Occupancy,Demolition works and construction of dual occupancy with Torrens title subdivision,17/12/2025,Approved,31/03/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; multiple documents available
Georges River,DA2026/0008,10 Parkside Drive Kogarah Bay NSW 2217,Residential Single Dwelling,Alterations and additions to existing dwelling,15/01/2026,Approved,30/03/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; multiple documents available including notice of determination and plans
Georges River,MOD2026/0032,280A Railway Parade Carlton NSW 2218,S4.55(1A) Modification,Modification of DA2020/0058 for demolition of existing structures and construction of a mixed use development; modifications include deleting Condition 107,17/02/2026,Approved,30/03/2026,Yes,Yes,2,2,2,2,Detailed progress stages shown; documents available; related application DA2020/0058
Georges River,CC2026/0034,55 Stoney Creek Road Beverly Hills NSW 2209,Construction Certificate Council Issued,Construction of detached garage and BBQ area,09/03/2026,,30/03/2026,Yes,No,1,0,2,2,Progress entries shown but no documents currently available
Georges River,CDC2026/0158,95 Woids Avenue Allawah NSW 2218,Private Issued Complying Development Certificate,"Demolition, and construction of dwelling with pool and cabana",01/04/2026,Approved,29/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,MODCC2026/0004,994 King Georges Road Blakehurst NSW 2221; 998 King Georges Road Blakehurst NSW 2221,Modification of Construction Certificate,"Demolition works, alterations/additions to existing buildings and construction of new building",01/04/2026,Approved,30/03/2026,No,No,2,0,0,2,No events shown; no documents currently available; related application DA2022/0589
Georges River,CDC2026/0102,78 Ferry Avenue Beverley Park NSW 2217,Private Issued Complying Development Certificate,First floor addition to existing CDC 2014/9 approval (single storey dwelling),09/03/2026,Approved,04/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,CDC2026/0103,82 St Georges Parade Allawah NSW 2218,Private Issued Complying Development Certificate,Construction of 2x two storey dwellings including retaining walls,09/03/2026,Approved,02/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,CDC2026/0104,7 Hanigan Street Penshurst NSW 2222,Private Issued Complying Development Certificate,First floor addition to an existing dwelling,09/03/2026,Approved,06/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,CDC2026/0133,37 Lugarno Parade Lugarno NSW 2210,Private Issued Complying Development Certificate,Alteration of existing garage to a bedroom with ensuite and wardrobe,20/03/2026,Approved,17/03/2026,No,No,2,0,0,2,No events shown in progress section; no documents currently available
Georges River,MODCDC2026/0021,19 Rickard Road South Hurstville NSW 2221,Modification of Complying Development Certificate,Demolition of existing house and structures and construction of a new single-storey dwelling,19/03/2026,Approved,17/03/2026,No,No,2,0,0,2,No events shown; no documents currently available; related application CDC2025/0588
Georges River,MODCDC2026/0020,150 Kyle Parade Kyle Bay NSW 2221,Modification of Complying Development Certificate,Construction of a roof structure over an existing outdoor terrace area and installation of a pool in the rear lawn area,19/03/2026,Approved,16/03/2026,No,No,2,0,0,2,No events shown; no documents currently available; related application CDC2024/0139
