council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
The Council of the Municipality of Hunter's Hill,2021/1284-1,"30 Alexandra Street, Hunters Hill NSW",Modification / Residential Alterations,"Alterations and additions to the existing dwelling, demolition, garage to rear lane and landscaping; s4.55 modification for landscape plan and DA conditions relating to tree removal/replacement.",,Approved,2025/10/30,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA2025-0126,"1 Karrabee Avenue, Huntleys Cove NSW",Shop-top Housing / Mixed Use,"Construction of a new three-storey shop-top housing development consisting of two neighbourhood shops, three residential apartments, basement parking, landscaping and associated site works.",,Approved,2025/10/30,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,2025/0166,"64-68 Gladesville Road, Hunters Hill NSW",Hotel / Trading Hours,Extension of trading hours at the Hunters Hill Hotel.,,Refused,2025/10/30,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,2024/0043,"14-16 Venus Street, Gladesville NSW",Residential Flat Building,"Demolition of existing dwelling and garage, and construction of a residential flat building.",,Refused,2024/8/29,Yes,NO,2,0,2,2,
The Council of the Municipality of Hunter's Hill,DA20260046,"4 D'Aram Street, Hunters Hill NSW 2110",Lodged,"Demolish existing new attachments to a single storey residence and construct new two storey rear addition, new garage and associated landscape works.",08 May 2026,Approved,,NO,NO,1,0,0,2,
The Council of the Municipality of Hunter's Hill,DA20260045,"37 Alexandra Street, Hunters Hill NSW 2110",Lodged,"Change of Use to a Medical Centre, associated alterations and additions, and new signage",07 May 2026,Lodged,,NO,NO,1,0,0,2,
The Council of the Municipality of Hunter's Hill,DA20260047,"Marist Sisters' College, 64 Woolwich Road, Woolwich NSW 2110",Lodged,Demolition of structurally failed retaining wall and replacement with new.,06 May 2026,Lodged,,NO,NO,1,0,0,2,
The Council of the Municipality of Hunter's Hill,DA20260040,"19 Gale Street, Woolwich NSW 2110",Lodged,"Demolition of existing structures and construction of a 2- storey dwelling, 2-storey rear lane building, basement parking, swimming pool and associated landscaping",30 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260041,"11 Sherwin Street, Henley NSW 2111",Lodged,Demolition of existing dwelling and construction of 2 storey dwelling with basement and swimming pool and related landscaping,28 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20240132 - 2,5 RESERVE STREET HUNTERS HILL 2110,Lodged,"Alterations and additions to an existing dwelling, including a first floor addition. s4.55 modification - alterations to the existing landscape involving new swimming pool.",24 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260039,"1 Johnson Street, Hunters Hill NSW 2110",Lodged,"Alterations and additions to an existing dwelling, including internal reconfiguration, first floor extension and garage modifications.",22 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260034,"3 Lyndhurst Crescent, Hunters Hill NSW 2110",Lodged,"Proposed Alterations and additions to existing dwelling, including new windows and a sliding door to the rear of the first floor, new skylights to the first floor and new landscaping in the rear yard",,Lodged,,NO,NO,1,0,0,2,
The Council of the Municipality of Hunter's Hill,CDC20268078,"55 Huntleys Point Road, Huntleys Point NSW 2111",Lodged,Alterations to an existing dwelling,21 Apr 2026,Lodged,,Yes,NO,1,0,0,2,
The Council of the Municipality of Hunter's Hill,DA20250154-Review,"3 Dick Street, Henley NSW 2111",Lodged,"Review of determination - Demolition of existing 3 storey dwelling, construction of a new 3 storey dwelling, swimming pool and related landscaping.",16 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260036,"12 Paul Street, Hunters Hill NSW 2110",Lodged,"Demolish all structures on site and erect a new dwelling, pool, front fence, landscaping and tree removal",08 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20201222 - 1,24 WILLIAM STREET HENLEY 2111,Lodged,"Proposed Alterations and Additions to Approved Development and Construction of a Boatshed and Combined Skid and Slipway. s4.55 modification - Delete the bathroom, stair and free-standing planter box approved under DA 2020-1222. Retain existing stair as approved under DA 2016-1129-2.",07 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260033,"72 Prince Edward Street, Gladesville NSW 2111",Lodged,"Demolition of existing buildings, construction of a two-storey dwelling, swimming pool and related landscaping.",27 Mar 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20260025,"23 Gale Street, Woolwich NSW 2110",Lodged,Removal of one (1) tree,24 Mar 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20191023 - 5,"20 John Street, Hunters Hill NSW 2110",Lodged,Development Application for demolition of dwelling new attached dual occupancy plus fencing landscaping and drainage plus strata. s4.55 modification - Use of pool / Use of Pool Repositioned,07 Apr 2026,Lodged,,Yes,Yes,2,2,2,2,
The Council of the Municipality of Hunter's Hill,DA20240068 - 1,24 SHERWIN STREET HENLEY 2111,Lodged,"Alteration and additions to dwelling including garage and pool. s4.55 modification - move front of garage forward 2000mm, move rear of garage forward 1200mm, relocate detention tank",,Lodged,,Yes,Yes,2,2,2,2,
