council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Inner West Council,DA/2026/101,12 Booth Street Annandale NSW 2038,Residential Alteration,Alterations and additions to an existing dwelling including rear extension.,2026/5/7,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/102,88 Norton Street Leichhardt NSW 2040,Hospitality / Trading Hours,Modification to extend operating hours for existing restaurant.,2026/5/7,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/103,15 Crystal Street Petersham NSW 2049,Residential Development,Construction of a two storey rear addition and attic conversion.,2026/5/6,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/104,201 Darling Street Balmain NSW 2041,Retail Fitout,Internal fitout and signage for new retail premises.,2026/5/6,determined,,Partial,yes,1,1,1,2,
Inner West Council,DA/2026/105,6 Brown Street Marrickville NSW 2204,Residential Alteration,Alterations and additions to terrace house.,2026/5/5,determined,,Yes,yes,1,2,2,2,
Inner West Council,DA/2026/106,45 Victoria Road Rozelle NSW 2039,Mixed Use Modification,Section 4.55 modification to approved mixed use development.,2026/5/5,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/107,73 Enmore Road Newtown NSW 2042,Licensed Premises,Modification to licensed venue trading hours.,2026/5/4,determined,,Yes,yes,2,1,2,2,
Inner West Council,DA/2026/108,8 Smith Street Summer Hill NSW 2130,Residential Development,Construction of detached studio at rear of property.,2026/5/4,determined,,Partial,yes,1,1,1,2,
Inner West Council,DA/2026/109,110 Illawarra Road Marrickville NSW 2204,Commercial Fitout,Fitout for takeaway food premises.,2026/5/4,determined,,Yes,yes,1,2,2,2,
Inner West Council,DA/2026/110,27 Trafalgar Street Annandale NSW 2038,Residential Alteration,Demolition of rear structures and construction of extension.,2026/5/3,determined,,Yes,yes,1,2,2,2,
Inner West Council,DA/2026/111,14 Flood Street Leichhardt NSW 2040,Residential Development,New dual occupancy development.,2026/5/3,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/112,55 Mullens Street Balmain NSW 2041,Heritage Alteration,Heritage conservation works and internal alterations.,2026/5/2,determined,,Partial,yes,1,2,1,2,
Inner West Council,DA/2026/113,9 Livingstone Road Petersham NSW 2049,Residential Alteration,Attic conversion and rear addition.,2026/5/2,determined,,Yes,yes,1,1,2,2,
Inner West Council,DA/2026/114,180 King Street Newtown NSW 2042,Hospitality Fitout,Change of use to café with associated fitout works.,2026/5/1,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/115,33 Railway Parade Stanmore NSW 2048,Residential Development,Construction of secondary dwelling.,2026/5/1,determined,,Partial,yes,1,1,1,2,
Inner West Council,DA/2026/116,67 Victoria Street Marrickville NSW 2204,Industrial Use,Warehouse internal modifications and office fitout.,2026/4/30,determined,,Yes,yes,1,2,2,2,
Inner West Council,DA/2026/117,19 Darling Street Rozelle NSW 2039,Outdoor Dining,Application for outdoor dining area on public footpath.,2026/4/30,determined,,Yes,yes,2,1,2,2,
Inner West Council,DA/2026/118,5 Carlisle Street Leichhardt NSW 2040,Residential Alteration,Ground floor extension and landscaping works.,2026/4/29,determined,,Partial,yes,1,2,1,2,
Inner West Council,DA/2026/119,142 Addison Road Marrickville NSW 2204,Community Facility,Upgrade works to existing community facility.,2026/4/28,determined,,Yes,yes,2,2,2,2,
Inner West Council,DA/2026/120,90 Percival Road Stanmore NSW 2048,Residential Alteration,Alterations and additions including new garage.,2026/4/27,determined,,Yes,yes,1,1,2,2,
