council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
North Sydney,10.2025.00000142.002,"398 Pacific Highway, Crows Nest NSW 2065",Development Application,Modification to subdivision conditions relating to strata subdivision of airspace above existing development,2026/3/27,Determined,2026/3/27,Yes,No,2,0,2,2,Decision clearly shown; tracking table visible; no documents listed on page
North Sydney,19.2026.00000064.001,"88 Walker Street, North Sydney NSW 2060",Complying Development Application,Internal alterations to existing commercial office - Level 26,2026/3/27,Approved,2026/3/27,No,No,2,0,0,2,Decision clearly shown; no tracking data; no documents listed
North Sydney,16.2018.00000193.003,"287 Military Road, Cremorne NSW 2090",Appeals,Class 1 appeal against refusal of modification application,2025/11/27,Determined,2026/3/27,No,Yes,2,1,0,2,Decision clearly shown; one visible court order document; no tracking data
North Sydney,10.2025.00000453.001,"24 McHatton Street, North Sydney NSW 2060",Development Application,"Construct new 3-storey dual occupancy, strata subdivision, new vehicle crossing, swimming pool and landscaping",2025/11/24,Determined,2026/3/27,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; multiple documents available
North Sydney,10.2026.00000049.001,"32 Holdsworth Street, Neutral Bay NSW 2089",Development Application,Alterations and additions for new balcony and privacy screening on first floor to rear of dwelling,2026/2/5,Approved,2026/3/26,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; multiple documents available
North Sydney,10.2022.00000002.009,"127 Willoughby Road, Crows Nest NSW 2065",Development Application,S4.55(1A) modification to DA 2/22 proposing minor internal modifications to kitchen and joinery in apartment 002,2026/3/6,Approved,2026/3/25,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2024.00000388.002,"9 Cremorne Road, Cremorne Point NSW 2090",Development Application,S4.55(1A) modification application for fenestration amendments and reconfiguration to driveway and garage,2026/2/13,Approved,2026/3/25,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2026.00000055.001,"24 Cowdroy Avenue, Cammeray NSW 2062",Development Application,"Alterations and additions to existing two storey villa, upgrading and associated works",2026/2/5,Determined,2026/3/21,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2024.00000006.004,"63 Victoria Street, McMahons Point NSW 2060",Development Application,Modification application to approved development for the introduction of a skylight,2026/3/12,Approved,2026/3/31,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,19.2026.00000067.001,"75 Miller Street, North Sydney NSW 2060",Complying Development Application,Suite 3.02 - internal alterations to existing office premises,2026/3/30,Approved,2026/3/25,No,No,2,0,0,2,Decision clearly shown; no tracking data; no documents listed
North Sydney,10.2026.00000106.001,"341 Ernest Street, Neutral Bay NSW 2089",Development Application,Strata subdivision into 3 lots within a multidwelling development,2026/3/17,Approved,2026/3/25,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2026.00000025.001,"2 Elizabeth Plaza, North Sydney NSW 2060",Development Application,Extend hours of operation of food & drink premises from 8.30am until 12am Monday to Sunday,2026/1/21,Approved,2026/3/23,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,19.2026.00000063.001,"12 Waters Road, Neutral Bay NSW 2089",Complying Development Application,Creating a stair penetration inside tenancy 7,2026/3/27,Approved,2026/3/24,No,No,2,0,0,2,Decision clearly shown; no tracking data; no documents listed
North Sydney,10.2020.00000269.002,"20 Waverton Street, Lavender Bay NSW 2060",Development Application,S4.55(1A) modification of DA 269/20 proposing changes to approved scope of works for alterations and additions to heritage listed attached dwelling,2026/2/18,Approved,2026/3/24,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,19.2026.00000060.001,"99 Mount Street, North Sydney NSW 2060",Complying Development Application,"Change of use for specified purpose of medical centre (pathology), with associated internal building alterations",2026/3/23,Approved,2026/3/23,No,No,2,0,0,2,Decision clearly shown; no tracking data; no documents listed
North Sydney,19.2026.00000061.001,"155 Miller Street, North Sydney NSW 2060",Complying Development Application,Alteration and use to Tenancy T18 as a food and drink premises,2026/3/24,Approved,2026/3/23,No,No,2,0,0,2,Decision clearly shown; no tracking data; no documents listed
North Sydney,10.2023.00000215.006,"45 McLaren Street, North Sydney NSW 2060",Development Application,S4.55(1A) modification of DA 215/23 for minor internal design changes to Apartment G04,2026/1/28,Approved,2026/3/23,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2025.00000090.002,"39 Bay Road, Waverton NSW 2060",Development Application,S4.55(1A) modification of DA 90/25 to increase approved deck level and remove approved rear roof extension,2026/2/20,Approved,2026/3/23,Yes,Yes,2,2,2,2,Decision clearly shown; tracking table visible; documents available
North Sydney,10.2026.00000138.001,"54 Edward Street, North Sydney NSW 2060",Development Application,"Demolition of existing carport and construction of new double carport, storage area and associated works",2026/3/31,Pending,,Yes,Yes,1,2,2,2,Current status shown as in progress or pending; tracking and documents visible; determination not yet issued
North Sydney,10.2026.00000134.001,"Unit 6, 6 Holbrook Avenue, Kirribilli NSW 2061",Development Application,Internal alterations and additions and installation of an air conditioning unit,2026/3/31,Pending,,Yes,Yes,1,2,2,2,Current status shown as in progress or pending; tracking and documents visible; determination not yet issued
