council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
City of Ryde,LDA2022/0365 MOD,826 Victoria Road Ryde NSW 2112,Modification,S4.55(1A) modification to approved childcare centre involving internal and external alterations.,2026/5/9,approved,,Yes,yes,2,1,2,2,
City of Ryde,2025/3086/01,2 Eden Park Drive Macquarie Park NSW 2113,Commercial Fitout,Internal modifications to existing office premises.,2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,260037,18 Jopling Street North Ryde NSW 2113,Residential Development,Demolition of existing dwelling and construction of two-storey dual occupancy with basement.,2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,2026/0178/1,7-11 Talavera Road Macquarie Park NSW 2113,Commercial Alteration,Internal alterations to existing office premises on level 5.,2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,CDC-25428/03,2 Milne Street Ryde NSW 2112,Residential Development,"Demolition of shed, additions to dwelling, secondary dwelling and swimming pool.",2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,SWC252213,304 Pittwater Road East Ryde NSW 2113,Pool / Recreation,"Construction of new swimming pool, terrace and cabana.",2026/5/9,approved,,Partial,no,1,0,1,2,
City of Ryde,260030,70 Mons Avenue West Ryde NSW 2114,Secondary Dwelling,Construction of secondary dwelling.,2026/5/9,approved,,Yes,yes,2,1,2,2,
City of Ryde,3226247CDC,116 Darvall Road Denistone West NSW 2114,Residential Alteration,Removal of internal wall to existing dwelling.,2026/5/9,approved,,Partial,no,1,0,1,2,
City of Ryde,CDC26189_01,296 Rowe Street Eastwood NSW 2122,Subdivision,Two lot Torrens subdivision for dual occupancy (attached).,2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,CDC25-0316-2,94 Epping Road North Ryde NSW 2113,Residential Development,Demolition and construction of two-storey house with attached secondary dwelling.,2026/5/9,approved,,Yes,yes,2,2,2,2,
City of Ryde,LDA2021/0274 MOD,2 Ida Street Putney NSW 2112,Modification,Modification to relocate on-site detention system underground.,2026/5/6,approved,,Yes,yes,2,2,2,2,
City of Ryde,LDA2025/0255 MOD,131 Melba Drive East Ryde NSW 2113,Modification,Minor modification to development consent involving condition changes.,2026/5/6,approved,,Partial,no,1,0,1,2,
City of Ryde,26000813/1,6 Giffnock Avenue Macquarie Park NSW 2113,Commercial Fitout,CDC PCA level 2 warm shell commercial works.,2026/5/6,approved,,Partial,no,1,0,1,2,
City of Ryde,260011/01,10 Storey Street Putney NSW 2112,Dual Occupancy,Construction of attached dual occupancy and swimming pool modification.,2026/5/6,approved,,Yes,yes,2,2,2,2,
City of Ryde,250301,25 Threlfall Street Eastwood NSW 2122,Subdivision,2 lot Torrens title subdivision under LRHDC.,2026/5/6,approved,,Yes,yes,2,2,2,2,
City of Ryde,260028,19 Thompson Street Gladesville NSW 2111,Residential Alteration,Alterations and additions including pool and deck works.,2026/5/8,approved,,Yes,yes,2,2,2,2,
City of Ryde,260026,98 Bellevue Avenue Denistone NSW 2114,Residential Alteration,"New carport, external stairs and retaining wall works.",2026/5/8,approved,,Partial,no,1,0,1,2,
City of Ryde,260024,1 Railway Road Meadowbank NSW 2114,Signage,Installation of illuminated signage to mixed-use development.,2026/5/6,approved,,Partial,no,1,0,1,2,
City of Ryde,260021,2 Porter Street Ryde NSW 2112,Mixed Use Alteration,External alterations and remedial works to existing mixed-use development.,2026/5/6,approved,,Yes,yes,2,2,2,2,
City of Ryde,260018,2 Thelma Street Marsfield NSW 2122,Residential Development,Demolition and construction of split-level two-storey dwelling.,2026/5/6,approved,,Yes,yes,2,2,2,2,
