council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Sutherland Shire,DA24/0154,169 Port Hacking Road Miranda NSW 2228,Industrial Construction,Construction of additional storeys of storage units,5/04/2024,Application Approved,31/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0028,19 Mitchell Road Cronulla NSW 2230,Dwelling Construction,Alterations and additions to existing dwelling,16/01/2025,Approved,3/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0488,276-278 Attunga Road Yowie Bay NSW 2228,Waterfront Structures,"Construction of a boat shed, skid ramp, jetty, ramp, pontoon and alteration of access stairs",25/08/2025,Application Approved,31/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0486,8 Fernleigh Road Caringbah South NSW 2229,Subdivision With No New Road,"Phase 1: Torrens title subdivision of existing lot into 2 lots and associated works including demolition of existing driveway, stormwater drainage works, construction of right-of-carriageway driveway and provision for services. Phase 2: Demolition of existing structures, construction of dual occupancy, 2 swimming pools, fencing and associated landscaping works with strata title subdivision on proposed lot A0. Construction of a dwelling house, swimming pool, fencing and associated landscaping works on proposed lot B.",27/11/2025,Approved,11/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0546,45 Georges River Crescent Oyster Bay NSW 2225,Subdivision With No New Road,"Demolition of an existing dwelling, carport and driveway. Two (2) lot Torrens title subdivision. Construction of a dwelling house and associated landscaping works on proposed lot 2.",16/12/2025,Approved,20/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0549,33 Bay Road Taren Point NSW 2229,Industrial Construction,"Upgrade works to convert existing Transport Depot (bus depot) to an electric transport depot including 70 bus bays and 75 car parking spaces, removal of existing fuel tanks and associated land remediation, revised entry and exit configuration and boundary fencing",29/09/2025,Refused,3/03/2026,No,Yes,2,1,0,2,Refusal outcome clearly shown; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0679,7 Bulls Road Burraneer NSW 2230,Dwelling Construction,"Demolition of existing structures and construction of a dwelling house, swimming pool, retaining walls and associated landscaping works",18/11/2025,Refused,2/03/2026,No,Yes,2,1,0,2,Refusal outcome clearly shown; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0683,74 The Esplanade Sylvania NSW 2224,Dwelling Construction,"Demolition of existing structures, construction of new dwelling and attached garage and pool",19/11/2025,Approved,3/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0685,6 Wistaria Street Dolans Bay NSW 2229,Dual Occupancy Construction,"Demolition of existing structures and the construction of an attached dual occupancy with basement parking, swimming pools and strata subdivision",18/11/2025,Approved,3/03/2026,No,Yes,2,1,0,2,Summary page shows decision clearly; documents accessible via separate link; no visible event history on page
Sutherland Shire,DA25/0687,3 Girrilang Road Cronulla NSW 2230,Residential Flat Building Construction,Demolition of existing structures and the construction of a residential flat building with 4 lot strata subdivision,18/11/2025,Refused,3/03/2026,No,Yes,2,1,0,2,Refusal outcome clearly shown; documents accessible via separate link; no visible event history on page
