council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
The Council of the Municipality of Hunters Hill,CDC-100988,seabed abutting 62a The Point Road Woolwich,Port wharf boating facilities,Complying Development Certificate Application,2022-07-18,Approved,2022-07-18,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-102022,30 PARK ROAD HUNTERS HILL 2110,Swimming pools,Complying Development Certificate Application,2022-08-04,Approved,2023-02-02,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-103452,78 RYDE ROAD HUNTERS HILL 2110,Alterations and additions to residential development,Modification to Complying Development Certificate,2022-07-29,Approved,2022-08-12,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-104600,5B WOOLWICH ROAD HUNTERS HILL 2110,Port wharf boating facilities,Complying Development Certificate Application,2022-08-03,Approved,2022-08-25,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-103912,"9 Viret Street, Hunters Hill",Other,Complying Development Certificate Application,2022-07-28,Approved,2022-08-25,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-106938,8 EARL STREET HUNTERS HILL 2110,"Earthworks, retaining walls, protection of trees",Complying Development Certificate Application,2022-08-12,Approved,2022-10-07,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-107207,9 ASTON STREET HUNTERS HILL 2110,"Demolition,Dwelling house",Complying Development Certificate Application,2022-08-12,Approved,2022-08-12,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-107454,58 RYDE ROAD HUNTERS HILL 2110,"Demolition,Dwelling house",Complying Development Certificate Application,2022-08-23,Approved,2022-10-20,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-107944,30 LYNDHURST CRESCENT HUNTERS HILL 2110,Port wharf boating facilities,Complying Development Certificate Application,2022-08-23,Approved,2022-09-05,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-108426,2 BLAXLAND STREET HUNTERS HILL 2110,Dwelling house,Modification to Complying Development Certificate,2022-11-11,Approved,2022-11-11,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-110381,15 LEO STREET HUNTERS HILL 2110,Dwelling house,Complying Development Certificate Application,2022-09-07,Approved,2022-09-07,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-111183,10 EARL STREET HUNTERS HILL 2110,"Dual occupancy,Swimming pools",Complying Development Certificate Application,2022-08-31,Approved,2022-08-31,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-113243,10 NORTH PARADE HUNTERS HILL 2110,Alterations and additions to residential development,Complying Development Certificate Application,2022-09-22,Under Assessment,,Yes,No,2,0,1,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-113244,45 BLAXLAND STREET HUNTERS HILL 2110,Swimming pools,Complying Development Certificate Application,2022-09-12,Approved,2022-09-15,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-115953,Seabed abutting 13 Mayfield Avenue Woolwich,Port wharf boating facilities,Complying Development Certificate Application,2022-11-03,Approved,2022-11-03,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-114669,75 ALEXANDRA STREET HUNTERS HILL 2110,"Demolition,Alterations and additions to residential development",Complying Development Certificate Application,2022-10-19,Approved,2022-10-19,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-116797,8 HUNTLEYS POINT ROAD HUNTLEYS POINT 2111,Other,Complying Development Certificate Application,2022-12-22,Under Assessment,,Yes,No,2,0,1,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-117622,7 ASTON STREET HUNTERS HILL 2110,Dwelling house,Complying Development Certificate Application,2022-10-01,Approved,2022-10-21,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-117186,Seabed abutting 3 Sea Street Hunters Hill,Port wharf boating facilities,Complying Development Certificate Application,2022-10-06,Approved,2022-10-06,Yes,No,2,0,2,2,Data extracted via API
The Council of the Municipality of Hunters Hill,CDC-118613,10 JUNCTION STREET GLADESVILLE 2111,Alterations and additions to residential development,Complying Development Certificate Application,2022-10-06,Approved,2022-12-22,Yes,No,2,0,2,2,Data extracted via API
