council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
Willoughby City Council,CC-2024/104,282-284 Victoria Avenue Chatswood NSW 2067,Mixed Use Development,Construction of new mixed use development including piling and demolition works.,2024/6/14,determined,,Yes,yes,2,1,2,2,
Willoughby City Council,CD-2024/235,231 High Street North Willoughby NSW 2068,Subdivision,Strata subdivision for proposed dual occupancy development.,2024/7/23,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2022/240/A,42 Archer Street Chatswood NSW 2067,Modification,Modification to mixed use building consent.,2024/10/24,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,CD-2024/331,17 Harris Street Willoughby NSW 2068,Dual Occupancy,Construction of attached dual occupancy and garage.,2024/9/26,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/12,443 Willoughby Road Willoughby NSW 2068,Child Care Centre,Alterations and additions establishing a child care centre.,2024/1/23,determined,,Yes,yes,2,1,2,2,
Willoughby City Council,DA-2024/150,799 Pacific Highway Chatswood NSW 2067,Commercial Plaza,"Ground floor plaza, landscaping and signage works.",2024/7/11,determined,,Partial,no,1,0,1,2,
Willoughby City Council,DA-2023/276,3 McIntosh Street Chatswood NSW 2067,Concept Development,Stage 1 concept DA for mixed use redevelopment.,2023/10/6,determined,,Yes,yes,2,1,2,2,
Willoughby City Council,DA-2023/267,462 Willoughby Road Willoughby NSW 2068,Residential Flat Building,Construction of 5-storey residential flat building.,2023/9/27,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,TVPA-2023/239,581 Willoughby Road Willoughby NSW 2068,Tree Application,Pruning application for two trees.,2023/10/6,determined,,Partial,no,1,0,1,2,
Willoughby City Council,DA-2024/231,989 Pacific Highway Roseville NSW 2069,Indoor Recreation,Adaptive reuse for indoor recreation facility.,2024/10/21,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/161,658 Pacific Highway Chatswood NSW 2067,Retail Signage,Business identification signs and specialised retail premises.,2024/7/29,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,CD-2024/40,22 Hotham Parade Artarmon NSW 2064,Vehicle Repair Centre,Alterations and additions to existing vehicle repair centre.,2024/2/13,determined,,Partial,no,1,0,1,2,
Willoughby City Council,DA-2022/166/C,15 Ellis Street Chatswood NSW 2067,Modification,Modify approved apartment layouts and habitable space.,2024/6/2,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/192,42 Eddy Road Chatswood NSW 2067,Subdivision,Torrens title subdivision of dual occupancy.,2024/9/3,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/48,17 Nea Street Chatswood NSW 2067,Residential Alteration,Alterations and additions including pergola and windows.,2024/3/3,determined,,Partial,no,1,0,1,2,
Willoughby City Council,DA-2024/171,31-33 Archer Street Chatswood NSW 2067,Shop Top Housing,Integrated development for shop top buildings.,2024/8/7,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/168,3 Devonshire Street Chatswood NSW 2067,Secondary Dwelling,Construction of secondary dwelling and associated works.,2024/8/5,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/16,42 Robinson Street Chatswood NSW 2067,Residential Alteration,Alterations and additions including tree removal.,2024/1/24,determined,,Partial,no,1,0,1,2,
Willoughby City Council,DA-2024/27,10 Devonshire Street Chatswood NSW 2067,Residential Addition,First floor addition and replacement windows.,2024/2/9,determined,,Yes,yes,2,2,2,2,
Willoughby City Council,DA-2024/210,21 Mowbray Road Artarmon NSW 2064,Commercial Development,Commercial redevelopment and landscaping works.,2024/10/1,determined,,Yes,yes,2,2,2,2,
