council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
City of Parramatta Council,TA/249/2026,"83 North Rocks Road, North Rocks NSW 2151",Tree Application,Removal of 1 tree,2026/5/6,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/237/2026,"39 Hurley Street, Toongabbie NSW 2146",Tree Application,Removal of One (1) Tree,2026/5/4,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/236/2026,"12 Alamein Avenue, Carlingford NSW 2118",Tree Application,Removal of One (1) Tree,2026/5/3,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/234/2026,"345 North Rocks Road, North Rocks NSW 2151",Tree Application,Removal of One (1) Tree,2026/5/3,Determined,,YES,YES,1,1,1,2,
City of Parramatta Council,DA/47/2024/A,"700 Victoria Road, Ermington NSW 2115",Section 4.55 Modification,"Section 4.55(1A) modification to approved DA/47/2024 for roadworks, specifically to include relocation of bus stop into adjacent public park and partial remediation of existing service station site (fuel tank removal).",2026/5/5,Determined,,YES,YES,2,1,1,2,
City of Parramatta Council,CD/392/2026,"G 10/35 East Street, Granville NSW 2142",Complying Development / Fitout,Amalgamation of Shop G10 and G11 (retail premises) (fruit and vegetable shop including butcher) and internal fitout,2026/5/6,Determined,,YES,YES,1,1,1,2,
City of Parramatta Council,CD/391/2026,"19 Bromfield Avenue, Toongabbie NSW 2146",Complying Development / Secondary Dwelling,Construction of a secondary dwelling & Includes Demolition,2026/5/6,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,CD/390/2026,"38 Wharf Road, Melrose Park NSW 2114",Complying Development / Retail Fitout,Internal fitout of retail premises - Shop LG.06A (Bella's Chargrill Chicken),2026/5/6,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/241/2026,"46 Calder Road, Rydalmere NSW 2116",Tree Application,Pruning of 1 tree,2026/5/5,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/233/2026,"3 McDonald Avenue, Winston Hills NSW 2153",Tree Application,Removal of One (1) Jacaranda mimosifolia (Jacaranda),2026/5/1,Determined,,YES,YES,1,1,1,2,
City of Parramatta Council,TA/232/2026,"18 Romford Road, Epping NSW 2121",Tree Application,Removal of One (1) Tree and Pruning of Four (4) Trees,2026/4/30,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,TA/228/2026,"26 Stevens Street, Ermington NSW 2115",Tree Application,Removal of One (1) Tree,2026/4/29,Determined,,YES,YES,1,1,1,2,
City of Parramatta Council,TA/227/2026,"36 Junction Road, Winston Hills NSW 2153",Tree Application,Removal of One (1) Jacaranda mimosifolia (Jacaranda),2026/4/29,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,DA/93/2025/A,"40-46 Alice Street, Harris Park NSW 2150",Section 4.55 Modification,"Section 4.55(1A) modification to DA/93/2025 for the construction of a 3 level basement car park with piazza above at ground level and associated works. The application was Nominated Integrated Development under the Water Management Act 2000. The modification seeks to delete Condition 3 of the Consent, relating to full basement tanking to resist hydrostatic pressure.",2026/5/4,Determined,,YES,YES,2,2,1,2,
City of Parramatta Council,CD/875/2025/A,"22 O'Connell Street, Parramatta NSW 2150",Complying Development / Modification,Refurbishment of existing office space on Levels 3 & 4. Changes to the layout on Level 4. Modification,2026/5/4,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,CD/389/2026,"171 Church Street, Parramatta NSW 2150",Complying Development / Food Premises,Alterations to Kiosk K548 as a takeaway food and drink premises,2026/5/5,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,CD/388/2026,"11 Wilson Avenue, Winston Hills NSW 2153",Complying Development / Demolition,Demolition of a house and out-structures - only,2026/5/5,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,CD/387/2026,"801-809 Pennant Hills Road, Carlingford NSW 2118",Complying Development / Food Premises,Alteration to an existing takeaway food and drink premises (Kiosk 101),2026/5/5,Determined,,YES,YES,1,1,1,2,
City of Parramatta Council,CD/386/2026,"9 Talinga Street, Carlingford NSW 2118",Complying Development / Subdivision,Two Lot Torrens Subdivision for Dual Occupancy (detached),2026/5/5,Determined,,YES,YES,1,2,1,2,
City of Parramatta Council,CD/385/2026,"2-8 Hazlewood Place, Epping NSW 2121",Complying Development / Fire System,Alterations to existing fire monitoring system,2026/5/5,Determined,,YES,YES,1,1,1,2,
