council,application_no,address,development_type,description,lodged_date,decision,decision_date,has_progress_info,has_documents,status_clarity_score,document_completeness_score,update_visibility_score,navigation_ease_score,notes
City of Sydney,D/2026/001,115 Bathurst Street Sydney NSW 2000,Retail / Trading Hours,"Extend the trading hours of an existing convenience store so it may operate 24 hours a day, 7 days a week.",2026/5/7,determined,,Yes,Yes,2,2,2,2,
City of Sydney,D/2026/002,103 Cleveland Street Darlington NSW 2008,Licensed Premises Modification,Section 4.55(2) modification to continue trial period for late night pub trading hours.,2026/5/7,determined,,Yes,Yes,2,2,2,2,
City of Sydney,D/2026/003,1A Moore Park Road Centennial Park NSW 2021,Residential Modification,Section 4.55(2) application to modify approved residential development.,2026/5/7,determined,,Yes,Yes,2,2,2,2,
City of Sydney,D/2026/004,17 Randle Street Surry Hills NSW 2010,Residential Alteration,Alterations and additions to change use to a new two storey dwelling.,2026/5/7,determined,,Yes,Yes,2,2,2,2,
City of Sydney,D/2026/005,106 King Street Sydney NSW 2000,Retail Fitout,Change of use to a retail premises including internal fitout and signage.,2026/5/2,determined,,Yes,Yes,2,1,2,2,
City of Sydney,D/2026/006,4-6 York Street Sydney NSW 2000,Advertising / Signage,Section 8.2 review regarding a hand painted advertising mural.,2026/5/2,determined,,Yes,Yes,1,2,2,2,
City of Sydney,D/2026/007,11 Morehead Street Redfern NSW 2016,Residential Alteration,Alterations and additions to terrace.,2026/5/2,determined,,Yes,Yes,1,1,2,2,
City of Sydney,D/2026/008,85 Lower Fort Street Millers Point NSW 2000,Residential Use,Use of the premises as a single dwelling. No physical works.,2026/5/2,determined,,Yes,Yes,1,2,2,2,
City of Sydney,D/2026/009,1 Hansard Street Zetland NSW 2017,Residential Construction,Construction of pair of two storey semi detached dwellings.,2026/5/2,determined,,Yes,Yes,2,1,2,2,
City of Sydney,D/2026/010,18-20 Darlinghurst Road Potts Point NSW 2011,Mixed Use Modification,Modification replacing hotel accommodation with residential dwellings.,2026/5/2,determined,,Yes,Yes,2,1,2,2,
City of Sydney,D/2026/011,5D Hickson Road The Rocks NSW 2000,Signage,Replacement of business identification signage.,2026/5/1,determined,,Yes,Yes,1,2,2,2,
City of Sydney,D/2026/012,9 Bourke Road Alexandria NSW 2015,Signage,Signage application.,2026/5/1,determined,,Partial,NO,1,0,1,2,
City of Sydney,D/2026/013,55-57 Wentworth Avenue Sydney NSW 2000,Hospitality / Trading Hours,Modification to extend rooftop bar and conference area trading hours.,2026/4/30,determined,,Yes,Yes,2,2,2,2,
City of Sydney,D/2026/014,138 Carillon Avenue Newtown NSW 2042,Residential Alteration,Addition of external window to apartment development.,2026/4/30,determined,,Partial,NO,1,0,1,2,
City of Sydney,D/2026/015,20 Flora Street Erskineville NSW 2043,Residential Alteration,Alterations and additions to an existing dwelling.,2026/4/30,determined,,Yes,Yes,1,2,2,2,
City of Sydney,D/2026/016,145 King Street Newtown NSW 2042,Hotel / Trading Hours,Modification to continue trial trading hours for Marlborough Hotel.,2026/4/27,determined,,Yes,Yes,2,1,2,2,
City of Sydney,D/2026/017,158-160 Abercrombie Street Redfern NSW 2016,Outdoor Dining,Use roadway on Vine Street for outdoor dining for Eveleigh Hotel.,2026/4/27,determined,,Yes,Yes,2,1,2,2,
City of Sydney,D/2026/018,330 King Street Newtown NSW 2042,Commercial Alteration,Install rooftop plant and equipment to commercial building.,2026/4/26,determined,,Partial,Yes,1,2,1,2,
City of Sydney,D/2026/019,26 Bray Street Erskineville NSW 2043,Residential Alteration,Alterations and additions to residential development.,2026/4/24,determined,,Yes,Yes,1,2,2,2,
City of Sydney,D/2026/020,150 Abercrombie Street Redfern NSW 2016,Shop Top Housing,Alterations and additions to existing shop top housing development.,2026/4/24,determined,,Yes,Yes,2,2,2,2,
