council,portal_source,weighted_default,equal_weight,document_focused,navigation_focused
Burwood Council,NSW Planning Portal,1.35,1.375,1.4,1.425
Campbelltown City Council,NSW Planning Portal,1.2875,1.2375,1.38,1.2325
City of Parramatta Council,NSW Planning Portal,1.42,1.4375,1.48,1.4875
City of Ryde,NSW Planning Portal,1.64,1.675,1.6,1.69
City of Sydney,NSW Planning Portal,1.7,1.725,1.68,1.7325
Georges River,Council-managed portal,1.285,1.35,1.22,1.41
hunter hills,NSW Planning Portal,1.6325,1.6625,1.61,1.6875
Inner West Council,NSW Planning Portal,1.695,1.7125,1.7,1.725
Liverpool City Council,NSW Planning Portal,1.555,1.5875,1.54,1.6375
North Sydney,Council-managed portal,1.63,1.6625,1.6,1.6925
Sutherland Shire,Council-managed portal,1.1625,1.2125,1.17,1.3125
Willoughby City Council,NSW Planning Portal,1.68,1.7125,1.64,1.725
