council,portal_source,total_records,document_available_count,progress_visible_count,document_availability_rate,progress_visibility_rate,avg_status_clarity,avg_document_completeness,avg_update_visibility,avg_navigation_ease,avg_transparency_average_score,avg_weighted_transparency_index,avg_evidence_based_transparency_score,avg_status_visibility_score,avg_progress_visibility_score,avg_document_visibility_score,avg_basic_information_completeness_score,avg_data_quality_reliability_score,avg_missing_required_fields,date_anomaly_count,avg_approval_duration_days
Burwood Council,NSW Planning Portal,20,18,18,0.9,0.9,1,1.5,1,2,1.375,1.35,72.625,50,70,82.5,100,70,0,20,
Campbelltown City Council,NSW Planning Portal,20,20,17,1,0.85,1,1.95,1.05,0.95,1.2375,1.2875,77.14,50,68.75,98.75,96.4275,83,0.25,8,60.6667
City of Parramatta Council,NSW Planning Portal,20,20,20,1,1,1.1,1.65,1,2,1.4375,1.42,77.3125,55,75,91.25,100,70,0,20,
City of Ryde,NSW Planning Portal,20,14,14,0.7,0.7,1.7,1.3,1.7,2,1.675,1.64,79.5,85,77.5,67.5,100,70,0,20,
City of Sydney,NSW Planning Portal,20,18,17,0.9,0.85,1.55,1.5,1.85,2,1.725,1.7,84.1875,77.5,88.75,82.5,100,70,0,20,
Georges River,Council-managed portal,20,7,8,0.35,0.4,1.9,0.7,0.8,2,1.35,1.285,65.436,95,40,35,98.571,81.5,0.1,11,121.7778
hunter hills,NSW Planning Portal,20,14,16,0.7,0.8,1.75,1.4,1.5,2,1.6625,1.6325,79.808,87.5,77.5,70,95.713,67,0.3,18,
Inner West Council,NSW Planning Portal,20,20,15,1,0.75,1.45,1.65,1.75,2,1.7125,1.695,83.25,72.5,81.25,91.25,100,70,0,20,
Liverpool City Council,NSW Planning Portal,20,17,13,0.85,0.65,2,1.35,1,2,1.5875,1.555,80.2665,100,57.5,76.25,97.8565,71.5,0.15,17,
North Sydney,Council-managed portal,20,14,14,0.7,0.7,1.9,1.35,1.4,2,1.6625,1.63,82.6875,95,70,68.75,100,92.5,0,5,40.1333
Sutherland Shire,Council-managed portal,20,20,0,1,0,1.85,1,0,2,1.2125,1.1625,66.425,92.5,0,75,100,95.5,0,3,164.1765
Willoughby City Council,NSW Planning Portal,20,15,15,0.75,0.75,1.75,1.35,1.75,2,1.7125,1.68,82,87.5,81.25,71.25,100,70,0,20,
